Period,Trade Flow,Reporter,Partner,2nd Partner,Customs Desc,Transport Mode,Commodity Code,Trade Value,Net Weight(kg),Gross Weight,Qty Unit,Qty,Alternate Quantity unit,Alternate Quantity
2008,X,Japan,USA,World,TOTAL CPC,TOTAL MOT,850131,145141679,8210298,,N/A,,N/A,
2008,M,USA,World,World,TOTAL CPC,TOTAL MOT,850131,1067263552,48708287,,u,78671887,N/A,
2008,X,USA,World,World,TOTAL CPC,TOTAL MOT,850131,341398067,13945951,,u,4570653,N/A,
2008,M,USA,China,World,TOTAL CPC,TOTAL MOT,850131,182784175,8341992,,u,18640140,N/A,
2008,X,USA,China,World,TOTAL CPC,TOTAL MOT,850131,10044195,410301,,u,116345,N/A,
2008,M,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,154783402,7064079,,u,12216112,N/A,
2008,X,USA,Japan,World,TOTAL CPC,TOTAL MOT,850131,5589678,228336,,u,42066,N/A,
2009,M,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,538870781,39182031,,u,58872578,N/A,
2009,X,European Union,World,World,TOTAL CPC,TOTAL MOT,850131,387388260,14655416,,u,13065990,N/A,
2009,M,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,241551808,23790800,,u,51079243,N/A,
2009,X,European Union,China,World,TOTAL CPC,TOTAL MOT,850131,59553990,2742200,,u,3068781,N/A,
2009,M,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,101256042,9450700,,u,2843881,N/A,
2009,X,European Union,Japan,World,TOTAL CPC,TOTAL MOT,850131,32544836,1795700,,u,2136650,N/A,
2009,M,European Union,"Other Europe, nes",World,TOTAL CPC,TOTAL MOT,850131,179260,6300,,u,3080,N/A,
2009,M,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,55368011,805400,,u,495540,N/A,
2009,X,European Union,USA,World,TOTAL CPC,TOTAL MOT,850131,80873793,1934400,,u,1111709,N/A,
2009,M,China,World,World,TOTAL CPC,TOTAL MOT,850131,270653440,10651354,,u,29368368,N/A,
2009,X,China,World,World,TOTAL CPC,TOTAL MOT,850131,666554562,20854022,,u,98283158,N/A,
2009,M,China,China,World,TOTAL CPC,TOTAL MOT,850131,50919110,2003882,,u,17484588,N/A,
2009,M,China,Japan,World,TOTAL CPC,TOTAL MOT,850131,79428338,3125840,,u,4013553,N/A,
